ID,Category,Type,Title,OptionsCount,Options,HasDependency,Required
"daily_shower_duration_detailed","daily","single","Günlük duş süreniz ortalama ne kadar?",4,"5 dakikadan az | 5–10 dakika | 10–20 dakika | 20 dakikadan fazla",NO,YES
"shower_temperature_adjustment","daily","single","Duşta suyun sıcak ayarını yaparken musluğu kapatır mısınız?",4,"Her zaman | Bazen | Nadiren | Hiçbir zaman",NO,YES
"hand_washing_tap_usage","daily","single","El yıkarken musluğu açık bırakır mısınız?",4,"Hiçbir zaman | Nadiren | Çoğunlukla | Her zaman",NO,YES
"teeth_brushing_tap_closure","daily","single","Diş fırçalarken musluğu kapatır mısınız",4,"Her zaman | Bazen | Nadiren | Hiçbir zaman",NO,YES
"shaving_water_usage","daily","single","Traş olurken musluğu nasıl kullanıyorsunuz?",4,"Kapalı tutuyorum, sadece gerektiğinde açıyorum | Arada kapatıyorum | Çoğunlukla açık bırakıyorum | Tamamen açık bırakıyorum",NO,YES
"household_size","household","single","Evde kaç kişi yaşıyor?",4,"1 | 2–3 | 4–5 | 6 ve üzeri",NO,YES
"hot_water_system","household","single","Evde sıcak su için hangi sistemi kullanıyorsunuz?",4,"Kombi / Doğalgaz | Elektrikli şofben | Güneş enerjisi | Diğer",NO,YES
"washing_machine_full_capacity","weekly","single","Çamaşır makinesini ne sıklıkla tam kapasite çalıştırıyorsunuz?",4,"Her zaman | Genellikle | Bazen | Nadiren",NO,YES
"dishwashing_method_detailed","daily","single","Bulaşıklarınızı yıkarken hangi yöntemi kullanıyorsunuz?",4,"Bulaşık makinesi (ekonomik program) | Bulaşık makinesi (standart program) | Elle (musluk sürekli açık) | Elle (musluk kontrollü)",NO,YES
"fruit_vegetable_washing_method","daily","single","Meyve-sebzeleri nasıl yıkıyorsunuz?",4,"Kapta suyla | Musluğu kısık şekilde | Musluğu açık uzun süre | Fark etmez",NO,YES
"water_reuse","daily","single","Kullanılmış suyu tekrar değerlendirir misiniz (haşlama suyu, yağmur suyu)?",4,"Evet, sık sık | Bazen | Nadiren | Hiç",NO,YES
"garden_availability","garden","single","Bahçeniz var mı?",4,"Yok | Var ama sulama yapılmıyor | Var, hortumla sulama | Var, damlama/otomatik sistem",NO,YES
"garden_watering_method","garden","single","Bahçenizi hangi yöntemle suluyorsunuz?",4,"Hortum | Damla sulama | Yağmurlama | Hiç sulamıyorum",YES,YES
"garden_watering_time","garden","single","Bahçe sulamasını hangi saatlerde yapıyorsunuz?",4,"Sabah erken | Akşam üstü | Gün ortası | Düzensiz",YES,YES
"garden_water_source","garden","single","Bahçe için hangi suyu kullanıyorsunuz?",4,"Şehir şebekesi | Kuyu suyu | Yağmur suyu | Diğer",YES,YES
"low_water_plants_preference","garden","single","Bahçenizde çim yerine su ihtiyacı düşük bitkiler kullanıyor musunuz?",4,"Evet, çoğunlukla | Kısmen | Hayır | Bahçem yok",NO,YES
"car_washing_method","weekly","single","Aracınızı yıkarken hangi yöntemi kullanıyorsunuz?",4,"Oto yıkama (geri dönüşümlü su) | Oto yıkama (klasik) | Kendim hortumla su tasarrufu yaparak | Hortumla açık şekilde",NO,YES
"workplace_water_bottle_usage","lifestyle","single","İş yerinde/okulda pet şişe su mu kullanıyorsunuz?",4,"Her zaman tek kullanımlık şişe | Çoğunlukla tek kullanımlık | Çoğunlukla matara/termos | Her zaman matara/termos",NO,YES
"workplace_sensor_taps","lifestyle","single","Çalıştığınız/okuduğunuz yerde fotoselli musluklar var mı?",4,"Evet, yaygın | Kısmen | Çok az | Hiç yok",NO,YES
"water_saving_showerhead","household","single","Evinizde tasarruflu duş başlığı var mı?",4,"Evet, tüm duşlarda | Bazı duşlarda | Hayır | Emin değilim",NO,YES
"dual_flush_toilet","household","single","Rezervuarınız çift kademeli mi?",4,"Evet, tüm tuvaletlerde | Bazılarında var | Hayır | Emin değilim",NO,YES
"flow_restrictor_usage","household","single","Musluklarda akış sınırlayıcı kullanıyor musunuz?",4,"Evet, tüm musluklarda | Bazı musluklarda | Hayır | Emin değilim",NO,YES
"low_rinse_detergent_attention","lifestyle","single","Çamaşır ve bulaşık deterjanı seçiminde ""az suyla durulama"" özelliğine dikkat eder misiniz?",4,"Her zaman | Bazen | Nadiren | Hiç",NO,YES
"cotton_clothing_reduction","lifestyle","single","Pamuklu kıyafet gibi su tüketimi yüksek ürünleri azaltmaya çalışır mısınız?",4,"Evet, bilinçli olarak | Bazen | Nadiren | Hiç düşünmüyorum",NO,YES
"restaurant_food_ordering","lifestyle","single","Restoranlarda bitiremeyeceğiniz kadar yemek sipariş eder misiniz?",4,"Hiç | Nadiren | Sıklıkla | Her zaman",NO,YES
